COM,NCOM,NREG,NDEP,F65-79,F80+,H65-79,H80+,latitude,longitude
1001,L'Abergement-Clémenciat,Auvergne-Rhône-Alpes,Ain,55,19,62.0,15.0,46.1534255214,4.92611354223
1002,L'Abergement-de-Varey,Auvergne-Rhône-Alpes,Ain,12,5,22.0,6.0,46.0091878776,5.42801696363
1004,Ambérieu-en-Bugey,Auvergne-Rhône-Alpes,Ain,1003,523,685.0,261.0,45.9608475114,5.3729257777
1005,Ambérieux-en-Dombes,Auvergne-Rhône-Alpes,Ain,102,43,106.0,31.0,45.9961799872,4.91227250796
1006,Ambléon,Auvergne-Rhône-Alpes,Ain,9,5,9.0,3.0,45.7494989044,5.59432017366
1007,Ambronay,Auvergne-Rhône-Alpes,Ain,183,68,164.0,40.0,46.0055913782,5.35760660735
1008,Ambutrix,Auvergne-Rhône-Alpes,Ain,42,11,42.0,9.0,45.9367134524,5.3328092349
1009,Andert-et-Condon,Auvergne-Rhône-Alpes,Ain,32,14,35.0,10.0,45.7873565333,5.65788307924
1010,Anglefort,Auvergne-Rhône-Alpes,Ain,74,31,62.0,13.0,45.9093715116,5.79516005674
1011,Apremont,Auvergne-Rhône-Alpes,Ain,29,3,31.0,2.0,46.2054981558,5.65781475272
1012,Aranc,Auvergne-Rhône-Alpes,Ain,30,14,27.0,14.0,46.0015344029,5.51130637511
1013,Arandas,Auvergne-Rhône-Alpes,Ain,11,2,14.0,2.0,45.8908155275,5.49870439091
1014,Arbent,Auvergne-Rhône-Alpes,Ain,277,108,250.0,59.0,46.2834936005,5.69061651221
1015,Arboys en Bugey,Auvergne-Rhône-Alpes,Ain,60,24,68.0,13.0,45.7237621545,5.65263086429
1015,Arboys en Bugey,Auvergne-Rhône-Alpes,Ain,60,24,68.0,13.0,45.7237621545,5.65263086429
1016,Arbigny,Auvergne-Rhône-Alpes,Ain,33,18,40.0,7.0,46.4776762988,4.9599416863
1017,Argis,Auvergne-Rhône-Alpes,Ain,33,13,35.0,14.0,45.9337182132,5.48251100314
1019,Armix,Auvergne-Rhône-Alpes,Ain,2,0,6.0,0.0,45.8541838459,5.58357838695
1021,Ars-sur-Formans,Auvergne-Rhône-Alpes,Ain,111,28,76.0,20.0,45.9934611,4.82199649494
1022,Artemare,Auvergne-Rhône-Alpes,Ain,110,60,88.0,30.0,45.8695891748,5.69065283943
1023,Asnières-sur-Saône,Auvergne-Rhône-Alpes,Ain,5,0,7.0,2.0,46.3857281418,4.88387478623
1024,Attignat,Auvergne-Rhône-Alpes,Ain,210,81,210.0,51.0,46.2861802203,5.1795233845
1025,Bâgé-Dommartin,Auvergne-Rhône-Alpes,Ain,242,88,260.0,68.0,46.3233203302,4.9528678933
1026,Bâgé-le-Châtel,Auvergne-Rhône-Alpes,Ain,76,75,68.0,27.0,46.3077069231,4.92862084189
1027,Balan,Auvergne-Rhône-Alpes,Ain,109,18,99.0,13.0,45.8311226453,5.10780019249
1028,Baneins,Auvergne-Rhône-Alpes,Ain,36,14,46.0,11.0,46.1141214445,4.90146475101
1029,Beaupont,Auvergne-Rhône-Alpes,Ain,42,18,36.0,24.0,46.4288360203,5.26003405676
1030,Beauregard,Auvergne-Rhône-Alpes,Ain,46,21,43.0,16.0,46.0008580204,4.75600664694
1031,Bellignat,Auvergne-Rhône-Alpes,Ain,245,94,222.0,53.0,46.2373497134,5.6360052884
1032,Béligneux,Auvergne-Rhône-Alpes,Ain,171,91,143.0,45.0,45.8591464826,5.13989505865
1032,Béligneux,Auvergne-Rhône-Alpes,Ain,171,91,143.0,45.0,45.8591464826,5.13989505865
1032,Béligneux,Auvergne-Rhône-Alpes,Ain,171,91,143.0,45.0,45.8591464826,5.13989505865
1032,Béligneux,Auvergne-Rhône-Alpes,Ain,171,91,143.0,45.0,45.8591464826,5.13989505865
1033,Valserhône,Auvergne-Rhône-Alpes,Ain,1009,535,845.0,261.0,46.1067901755,5.83202736464
1034,Belley,Auvergne-Rhône-Alpes,Ain,700,571,575.0,264.0,45.7494697806,5.68412365526
1035,Belleydoux,Auvergne-Rhône-Alpes,Ain,23,6,23.0,6.0,46.2530316409,5.78471723698
1036,Valromey-sur-Séran,Auvergne-Rhône-Alpes,Ain,130,43,125.0,42.0,45.8847475883,5.65115788055
1036,Valromey-sur-Séran,Auvergne-Rhône-Alpes,Ain,130,43,125.0,42.0,45.8847475883,5.65115788055
1037,Bénonces,Auvergne-Rhône-Alpes,Ain,17,5,33.0,12.0,45.8374974718,5.48285330863
1038,Bény,Auvergne-Rhône-Alpes,Ain,51,25,55.0,13.0,46.3188629218,5.28253433405
1039,Béon,Auvergne-Rhône-Alpes,Ain,32,12,30.0,9.0,45.8568920052,5.75220315052
1040,Béréziat,Auvergne-Rhône-Alpes,Ain,29,13,22.0,9.0,46.3674371012,5.04021655965
1041,Bettant,Auvergne-Rhône-Alpes,Ain,45,26,47.0,10.0,45.9368718303,5.36667617009
1042,Bey,Auvergne-Rhône-Alpes,Ain,16,5,20.0,6.0,46.2191748844,4.84642690241
1043,Beynost,Auvergne-Rhône-Alpes,Ain,335,135,297.0,95.0,45.8390325448,4.99738002182
1044,Billiat,Auvergne-Rhône-Alpes,Ain,37,13,33.0,15.0,46.0791346715,5.76591818163
1045,Birieux,Auvergne-Rhône-Alpes,Ain,14,7,15.0,2.0,45.9533995502,5.03666479984
1046,Biziat,Auvergne-Rhône-Alpes,Ain,40,22,44.0,18.0,46.2266794269,4.94084673168
1047,Blyes,Auvergne-Rhône-Alpes,Ain,45,18,38.0,8.0,45.8469686113,5.25166055884
1049,La Boisse,Auvergne-Rhône-Alpes,Ain,192,76,183.0,65.0,45.8446213549,5.02783224111
1050,Boissey,Auvergne-Rhône-Alpes,Ain,12,11,14.0,12.0,46.3727973545,4.9989764059
1050,Boissey,Auvergne-Rhône-Alpes,Ain,12,11,14.0,12.0,46.3727973545,4.9989764059
1051,Bolozon,Auvergne-Rhône-Alpes,Ain,8,4,12.0,3.0,46.1960338503,5.47095075411
1052,Bouligneux,Auvergne-Rhône-Alpes,Ain,30,9,30.0,9.0,46.0232774841,4.99252709276
1053,Bourg-en-Bresse,Auvergne-Rhône-Alpes,Ain,3447,2407,2445.0,1065.0,46.2051520382,5.24602125501
1053,Bourg-en-Bresse,Auvergne-Rhône-Alpes,Ain,3447,2407,2445.0,1065.0,46.2051520382,5.24602125501
1054,Bourg-Saint-Christophe,Auvergne-Rhône-Alpes,Ain,68,24,67.0,17.0,45.8861934456,5.14349196896
1054,Bourg-Saint-Christophe,Auvergne-Rhône-Alpes,Ain,68,24,67.0,17.0,45.8861934456,5.14349196896
1056,Boyeux-Saint-Jérôme,Auvergne-Rhône-Alpes,Ain,26,8,33.0,8.0,46.0363677631,5.46322744717
1057,Boz,Auvergne-Rhône-Alpes,Ain,28,14,31.0,8.0,46.4051688134,4.9135797178
1058,Brégnier-Cordon,Auvergne-Rhône-Alpes,Ain,66,25,67.0,16.0,45.6416854652,5.61653371
1060,Brénod,Auvergne-Rhône-Alpes,Ain,41,34,40.0,15.0,46.0759940484,5.61418361314
1061,Brens,Auvergne-Rhône-Alpes,Ain,99,17,105.0,12.0,45.7135069062,5.68998154517
1062,Bressolles,Auvergne-Rhône-Alpes,Ain,61,12,55.0,17.0,45.869423064,5.1009428902
1062,Bressolles,Auvergne-Rhône-Alpes,Ain,61,12,55.0,17.0,45.869423064,5.1009428902
1063,Brion,Auvergne-Rhône-Alpes,Ain,51,12,60.0,10.0,46.1686327301,5.54656422194
1064,Briord,Auvergne-Rhône-Alpes,Ain,45,16,52.0,6.0,45.7708330939,5.48537461884
1065,Buellas,Auvergne-Rhône-Alpes,Ain,140,45,143.0,31.0,46.2104135162,5.14487465017
1065,Buellas,Auvergne-Rhône-Alpes,Ain,140,45,143.0,31.0,46.2104135162,5.14487465017
1066,La Burbanche,Auvergne-Rhône-Alpes,Ain,5,1,8.0,1.0,45.8598709332,5.54609714598
1067,Ceignes,Auvergne-Rhône-Alpes,Ain,9,2,12.0,1.0,46.1256533435,5.49457379202
1068,Cerdon,Auvergne-Rhône-Alpes,Ain,50,62,50.0,19.0,46.0720202633,5.47577586118
1069,Certines,Auvergne-Rhône-Alpes,Ain,93,21,84.0,17.0,46.1337950959,5.26239539372
1071,Cessy,Auvergne-Rhône-Alpes,Ain,201,44,158.0,35.0,46.315689376,6.0779844362
1072,Ceyzériat,Auvergne-Rhône-Alpes,Ain,252,140,185.0,78.0,46.1832170988,5.32007207542
1073,Ceyzérieu,Auvergne-Rhône-Alpes,Ain,91,27,102.0,24.0,45.8335530148,5.71933090966
1074,Chalamont,Auvergne-Rhône-Alpes,Ain,152,137,133.0,73.0,46.0076491739,5.16936568
1075,Chaleins,Auvergne-Rhône-Alpes,Ain,80,14,76.0,10.0,46.0340545373,4.79853838574
1076,Chaley,Auvergne-Rhône-Alpes,Ain,17,5,16.0,3.0,45.9533367734,5.53682505273
1077,Challes-la-Montagne,Auvergne-Rhône-Alpes,Ain,14,7,13.0,3.0,46.1221539654,5.45755377201
1078,Challex,Auvergne-Rhône-Alpes,Ain,93,67,75.0,30.0,46.1768358327,5.97115092939
1079,Champagne-en-Valromey,Auvergne-Rhône-Alpes,Ain,61,89,77.0,32.0,45.9316447397,5.69321890072
1079,Champagne-en-Valromey,Auvergne-Rhône-Alpes,Ain,61,89,77.0,32.0,45.9316447397,5.69321890072
1079,Champagne-en-Valromey,Auvergne-Rhône-Alpes,Ain,61,89,77.0,32.0,45.9316447397,5.69321890072
1080,Champdor-Corcelles,Auvergne-Rhône-Alpes,Ain,57,14,48.0,18.0,46.0198844188,5.60008759722
1080,Champdor-Corcelles,Auvergne-Rhône-Alpes,Ain,57,14,48.0,18.0,46.0198844188,5.60008759722
1081,Champfromier,Auvergne-Rhône-Alpes,Ain,48,22,53.0,23.0,46.220365768,5.82233573131
1082,Chanay,Auvergne-Rhône-Alpes,Ain,30,10,32.0,6.0,46.005695299,5.76893393185
1083,Chaneins,Auvergne-Rhône-Alpes,Ain,50,16,50.0,13.0,46.0934984191,4.85473364691
1084,Chanoz-Châtenay,Auvergne-Rhône-Alpes,Ain,49,19,57.0,15.0,46.1861812234,5.02807719246
1085,La Chapelle-du-Châtelard,Auvergne-Rhône-Alpes,Ain,18,8,24.0,7.0,46.0744536905,5.02162055898
1087,Charix,Auvergne-Rhône-Alpes,Ain,23,6,23.0,6.0,46.1856344066,5.6811896084
1088,Charnoz-sur-Ain,Auvergne-Rhône-Alpes,Ain,45,12,41.0,9.0,45.8736786869,5.2211032563
1089,Château-Gaillard,Auvergne-Rhône-Alpes,Ain,123,34,100.0,26.0,45.9730390239,5.30754273532
1090,Châtenay,Auvergne-Rhône-Alpes,Ain,27,11,36.0,5.0,46.0259402155,5.2048590395
1092,Châtillon-la-Palud,Auvergne-Rhône-Alpes,Ain,113,32,100.0,30.0,45.9748017433,5.2416027725
1093,Châtillon-sur-Chalaronne,Auvergne-Rhône-Alpes,Ain,462,381,346.0,172.0,46.1232390685,4.95810003714
1094,Chavannes-sur-Reyssouze,Auvergne-Rhône-Alpes,Ain,54,31,49.0,21.0,46.4379785193,5.00693749662
1095,Nivigne et Suran,Auvergne-Rhône-Alpes,Ain,46,22,51.0,15.0,46.2750157946,5.41649423093
1096,Chaveyriat,Auvergne-Rhône-Alpes,Ain,50,28,57.0,18.0,46.1991513767,5.0564069258
1098,Chazey-Bons,Auvergne-Rhône-Alpes,Ain,86,32,80.0,29.0,45.7925770617,5.68477063188
1099,Chazey-sur-Ain,Auvergne-Rhône-Alpes,Ain,81,57,90.0,31.0,45.8929448968,5.25528498524
